"Record Number","Record Type","Licensee Name","Address","Expiration Date","Status","Home Delivery","Disciplinary Action",
"ERG-002865","Entity Prequalification","Tycoon I Operations, LLC",,"12/31/2099","Active - Main Applicant",,,
"GR-A-000124","Class A Grower – License","R & A Distributing LLC","3110 Turner ST Suite C, Lansing MI 48906","01/27/2023","Closed",,,
"ERG-002992","Entity Prequalification","STMB Holdings, LLC",,"12/31/2099","Active - Main Applicant",,,
"GR-C-000601","Class C Grower – License","Glorious Cannabis Company","2497 E Huron RD, Au Gres MI 48703","09/10/2023","Active",,"Public Documents Available",
"GR-C-000600","Class C Grower – License","Glorious Cannabis Company","2497 E Huron RD, Au Gres MI 48703","09/10/2023","Active",,"Public Documents Available",
"GR-C-000599","Class C Grower – License","Glorious Cannabis Company","2497 E Huron RD, Au Gres MI 48703","09/10/2022","Closed",,,
"GR-A-000158","Class A Grower – License","Givingtrees","1008 East 10 Mile RD, Hazel Park MI 48030","01/26/2024","Active",,,
"PR-000177","Processor - License","Wanda Products, LLC","1369 Cripps RD, Luzerne MI 48636","01/25/2024","Active",,,
"PC-000548","Provisioning Center - License","Michigan Pure Green, LLC","9017 South Sprinkle RD, Portage MI 49002","01/22/2023","Closed",,,
"GR-C-000645","Class C Grower – License","Green Goddess Health","1160 Treat ST, Adrian MI 49221","01/22/2023","Closed",,,
"GR-A-000148","Class A Grower – License","K Farm Organics, LLC","15379 Howard RD, Hanover MI 49241","03/16/2024","Active",,,
"PC-000555","Provisioning Center - License","Lucid- Emmet Township","1125 E. Michigan AVE Suite 9, Battle Creek MI 49014","01/21/2022","Closed",,,
"GR-C-000636","Class C Grower – License","Zenith Ventures Lansing LLC","1202 East Oakland AVE, Lansing MI 48906","01/20/2022","Closed",,,
"ST-000060","Secure Transporter - License","Helios Security, LLC","3075 Joyce ST, Burton MI 48529","01/20/2022","Closed",,"Public Documents Available",
"GR-C-000452","Class C Grower – License","Driven Gardens","3740 Rowland RD, Vassar MI 48768","01/20/2024","Active",,,
"GR-A-000150","Class A Grower – License","Omer Lighthouse","407 W Center ST, Omer MI 48749","01/20/2023","Closed",,,
"PC-000552","Provisioning Center - License","Flow Provisioning LLC","918 County Rd 480, Marquette MI 49855","01/15/2022","Closed",,,
"ERG-002820","Entity Prequalification","MJCC 8 Mile, LLC",,"12/31/2099","Active - Main Applicant",,,
"GR-C-000639","Class C Grower – License","MEDIQ Laboratories","775 S. Huron RD Suite C, Linwood MI 48634","09/10/2023","Active",,"Public Documents Available",
"ERG-002832","Entity Prequalification","CannaDMG LLC",,"12/31/2099","Active - Main Applicant",,,
"PC-000566","Provisioning Center - License","Pinnacle Emporium","221 East Front ST, Buchanan MI 49107","12/09/2023","Active",,,
"PR-000173","Processor - License","Lake Life Farms, Inc","10350 Harvest Park Suite A, Dimondale MI 48821","08/20/2022","Closed",,,
"GR-C-000620","Class C Grower – License","Redbud Roots Lab II, LLC","448 Post RD, Buchanan MI 49107","08/01/2021","Closed",,,
"GR-C-000619","Class C Grower – License","Redbud Roots Lab II, LLC","448 Post RD, Buchanan MI 49107","08/01/2022","Closed",,,
"ERG-002942","Entity Prequalification","Green Aisle LLC",,"12/31/2099","Active - Main Applicant",,,
"GR-A-000152","Class A Grower – License","Wanda Products, LLC","1369 Cripps RD, Luzerne MI 48636","01/13/2023","Closed",,,
"ERG-002765","Entity Prequalification","MSV MI, LLC",,"12/31/2099","Active - Main Applicant",,,
"GR-C-000628","Class C Grower – License","Kola Farms LLC","2285 Manor RD, Au Gres MI 48703","01/12/2022","Closed",,,
"GR-C-000627","Class C Grower – License","Kola Farms LLC","2285 Manor RD, Au Gres MI 48703","01/12/2024","Active",,"Public Documents Available",
"SC-000020","Safety Compliance - License","SV Labs, LLC","4427 Manchester RD, Kalamazoo MI 49001","01/12/2024","Active",,,
"PC-000542","Provisioning Center - License","Joyology of Centerline","26550 Liberal ST, Center Line MI 48015","01/12/2024","Active","Approved","Public Documents Available",
"PC-000550","Provisioning Center - License","URB Cannabis Company","124 N Water ST, Vassar MI 48768","01/11/2023","Closed","Approved",,
"ERG-002748","Entity Prequalification","Green Decatur, Inc.",,"12/31/2099","Active - Main Applicant",,,
"PC-000560","Provisioning Center - License","The Dude Abides Provisioning Center","160 N Washington ST, Constantine MI 49042","01/08/2023","Closed",,,
"PC-000554","Provisioning Center - License","Higher Love","116 Superior AVE, Crystal Falls MI 49920","01/08/2024","Active",,,
"PC-000518","Provisioning Center - License","Constantine Wellness Center, LLC","140 S Washington ST, Constantine MI 49042","01/08/2023","Closed",,,
"PR-000169","Processor - License","Oak Canna & Wellness LLC","14402 Prairie ST Suite 710, Detroit MI 48238","01/07/2024","Active",,,
"GR-C-000614","Class C Grower – License","MNS Stephens Ventures, LLC","13159 Stephens Rd, Warren MI 48089","10/08/2021","Closed",,,
"GR-C-000610","Class C Grower – License","MNS Stephens Ventures, LLC","13159 Stephens Rd, Warren MI 48089","10/08/2021","Closed",,,
"PC-000484","Provisioning Center - License","1864 US-23, LLC","1864 US 23 Suite A & B, East Tawas MI 48730","01/05/2022","Closed",,,
"PC-000499","Provisioning Center - License","Redbud Roots Lab VI, Inc.","218 E Stockbridge AVE, Kalamazoo MI 49001","01/05/2023","Closed",,,
"GR-C-000626","Class C Grower – License","Nature's Medicines","4956 Wayne RD, Battle Creek MI 49037","12/07/2022","Closed",,,
"GR-C-000625","Class C Grower – License","Nature's Medicines","4956 Wayne RD, Battle Creek MI 49037","12/07/2022","Closed",,,
"GR-C-000624","Class C Grower – License","Nature's Medicines","4956 Wayne RD, Battle Creek MI 49037","12/07/2022","Closed",,,
"GR-C-000623","Class C Grower – License","Nature's Medicines","4956 Wayne RD, Battle Creek MI 49037","12/07/2023","Active",,,
"GR-C-000622","Class C Grower – License","Nature's Medicines","4956 Wayne RD, Battle Creek MI 49037","12/07/2023","Active",,,
"GR-A-000151","Class A Grower – License","Bloomfield Development Group Grow LLC","14033 Achyl AVE, Warren MI 48089","12/30/2023","Active",,"Public Documents Available",
"PC-000532","Provisioning Center - License","Great Lakes Provision Center","811 Maple ST, Big Rapids MI 49307","12/29/2021","Closed","Approved",,
"GR-C-000609","Class C Grower – License","One Green Acre LLC","1707 Marquette AVE Suite 101, Bay City MI 48706","12/29/2021","Closed",,,
"GR-C-000598","Class C Grower – License","Glorious Cannabis Company","2497 E Huron RD, Au Gres MI 48703","09/10/2022","Closed",,,
"GR-C-000597","Class C Grower – License","Glorious Cannabis Company","2497 E Huron RD, Au Gres MI 48703","09/10/2022","Closed",,,
"PC-000556","Provisioning Center - License","Breaking Bud","449 Capital NE AVE, Battle Creek MI 49017","12/22/2023","Active","Approved",,
"PC-000537","Provisioning Center - License","Cloud Cannabis Company","356 Munson AVE, Traverse City MI 49686","05/20/2023","Active - Late Renewal",,,
"PC-000535","Provisioning Center - License","Sozo Cannabis","100 N Main ST, Cheboygan MI 49721","12/19/2023","Closed",,,
"PR-000175","Processor - License","The Brand Lab","32620 Dequindre RD, Warren MI 48092","12/22/2023","Active",,,
"ERG-002706","Entity Prequalification","NH Ventures 2, LLC",,"12/31/2099","Active - Main Applicant",,,
"GR-C-000608","Class C Grower – License","Chronicseur Farms","380 Industrial Parkway, Clare MI 48617","12/21/2021","Closed",,,
"GR-C-000607","Class C Grower – License","Chronicseur Farms","380 Industrial PKWY, Clare MI 48617","12/21/2023","Active",,,
"GR-A-000140","Class A Grower – License","Enterprise DST","5580 Enterprise CT Suite A, Warren MI 48092","12/18/2021","Closed",,,
"ERG-002814","Entity Prequalification","The Machine Grow and Processing, Inc.",,"12/31/2099","Active - Main Applicant",,,
"ERG-002876","Entity Prequalification","JIS LLC",,"12/31/2099","Active - Main Applicant",,,
"PC-000551","Provisioning Center - License","Pure Options - Muskegon Township","1965 Holton RD, Muskegon MI 49445","12/17/2023","Active",,"Public Documents Available",
"GR-C-000162","Class C Grower – License","HDS Investments, LLC","1312 LAKE ST, NILES MI 49120","12/17/2021","Closed",,,
"GR-C-000612","Class C Grower – License","MNS Stephens Ventures, LLC","13159 Stephens Rd, Warren MI 48089","10/08/2021","Closed",,,
"GR-C-000618","Class C Grower – License","WPL Industries, LLC","1201 E. Beecher ST, Adrian MI 49221","10/29/2022","Closed",,"Public Documents Available",
"PR-000171","Processor - License","Ascend Cannabis Group","735 East Hazel ST, Lansing MI 48912","07/29/2023","Active",,"Public Documents Available",
"ERG-002856","Entity Prequalification","Royal Highness PC4 LLC",,"12/31/2099","Active - Main Applicant",,,
"ERG-002819","Entity Prequalification","Blue Fox Brands Inc.",,"12/31/2099","Active - Main Applicant",,,
"PR-000072","Processor - License","Cannashine","170 S Huron RD, Linwood MI 48634","12/15/2023","Active",,,
"GR-A-000144","Class A Grower – License","Michigan Total Healing Center of Buchanan, LLC","7200 Old Pipestone RD, Eau Claire MI 49111","12/15/2022","Closed",,,
"GR-A-000147","Class A Grower – License","Grow Haven","38708 Fisk Lake RD, Paw Paw MI 49079","12/15/2021","Closed",,,
"PC-000526","Provisioning Center - License","Mother Nurtures, LLC","520 South Third AVE, Big Rapids MI 49307","12/10/2021","Closed",,,
"PC-000549","Provisioning Center - License","Apothecare Ann Arbor","2793 Plymouth RD Suite C, Ann Arbor MI 48105","12/24/2023","Active","Approved",,
"PC-000553","Provisioning Center - License","TeeBz, LLC","1561 West Maumee ST, Adrian MI 49221","12/11/2022","Closed",,"Public Documents Available",
"ERG-002773","Entity Prequalification","Hikers, LLC",,"12/31/2099","Active - Main Applicant",,,
"ERG-002749","Entity Prequalification","BPMD Realty LLC",,"12/31/2099","Active - Main Applicant",,,
"ERG-002807","Entity Prequalification","Aries Analytic L.L.C.",,"12/31/2099","Active - Main Applicant",,,
"ERG-002795","Entity Prequalification","High Haven Retail LLC",,"12/31/2099","Active - Main Applicant",,,
"PC-000544","Provisioning Center - License","Luxury Loud Detroit","2520 22nd ST, Detroit MI 48216","09/02/2023","Active","Approved",,
"GR-C-000293","Class C Grower – License","Apollo Organics, Inc.","1401 E Stewart AVE, Flint MI 48505","12/08/2022","Closed",,,
"PC-000541","Provisioning Center - License","The WellFlower","217 Maple ST, Big Rapids MI 49307","12/08/2021","Closed",,,
"PR-000159","Processor - License","Symponia Farms Inc.","1140 Harmonia RD, Battle Creek MI 49037","07/29/2022","Closed",,,
"PR-000118","Processor - License","MEM Gardens LLC","346 Logan ST, Adrian MI 49221","10/08/2023","Active",,,
"GR-C-000616","Class C Grower – License","Common Citizen","11300 17 Mile RD, Marshall MI 49068","02/04/2024","Active",,"Public Documents Available",
"GR-C-000615","Class C Grower – License","Common Citizen","11300 17 Mile RD, Marshall MI 49068","02/04/2024","Active",,"Public Documents Available",
"ERG-002664","Entity Prequalification","Sunshine Pharms, LLC",,"12/31/2099","Active - Main Applicant",,,
"ERG-002827","Entity Prequalification","Securecann III, LLC",,"12/31/2099","Active - Main Applicant",,,
"ERG-002875","Entity Prequalification","IVP Holding, LLC",,"12/31/2099","Active - Main Applicant",,,
"ERG-002885","Entity Prequalification","Kenney Pros, LLC",,"12/31/2099","Active - Main Applicant",,,
"PC-000540","Provisioning Center - License","Cannavibes Emporium","1135 W Dickman RD, Battle Creek MI 49037","12/07/2023","Active",,"Public Documents Available",
"PR-000176","Processor - License","Berry Green Management Inc","1356 Imlay City RD, Lapeer MI 48446","12/07/2023","Active",,"Public Documents Available",
"GR-C-000569","Class C Grower – License","Karvol Enterprises, LLC","2199 N. Concord RD Suite 2, Albion MI 49224","12/07/2021","Closed",,,
"ERG-002840","Entity Prequalification","Tip Top Crop LLC",,"12/31/2099","Active - Main Applicant",,,
"ERG-002835","Entity Prequalification","Select Tops LLC",,"12/31/2099","Active - Main Applicant",,,
"PC-000527","Provisioning Center - License","EZ Medz","9359 N. Dort HWY, Mt. Morris MI 48458","12/04/2023","Active","Approved","Public Documents Available",
"PC-000534","Provisioning Center - License","Premier Provisioning Center, LLC","1023 East Caro RD, Caro MI 48723","12/04/2023","Active","Approved","Public Documents Available",
"ERG-002745","Entity Prequalification","The Twisted Sista, LLC",,"12/29/2023","Active - Main Applicant",,,
"GR-C-000611","Class C Grower – License","MNS Stephens Ventures, LLC","13159 Stephens Rd, Warren MI 48089","10/08/2021","Closed",,,
"GR-C-000402","Class C Grower – License","Hytek Cultivation","12651 Stout ST, Detroit MI 48223","04/25/2024","Active",,"Public Documents Available",
"ERG-002811","Entity Prequalification","The Remedy Detroit LLC",,"12/31/2099","Active - Main Applicant",,,
"GR-A-000056","Class A Grower – License","Green Mitten Pharms, LLC","2761 M-61, Bentley MI 48613","12/02/2022","Closed",,,
"ERG-002642","Entity Prequalification","Magna Health Management, LLC",,"12/31/2099","Active - Main Applicant",,,
"ERG-002806","Entity Prequalification","Level Up Investments II, LLC",,"12/31/2099","Active - Main Applicant",,,
"ERG-002801","Entity Prequalification","Level Up Investments I, LLC",,"12/31/2099","Active - Main Applicant",,,
"GR-A-000107","Class A Grower – License","OTEAL2 LLC","1401 N Johnson ST Unit 1, Bay City MI 48708","12/02/2023","Active",,"Public Documents Available",
"PC-000511","Provisioning Center - License","Dr. A's Re-Leaf Center - Cannabis Merchant","26324 US-12, Edwardsburg MI 49112","02/21/2024","Active",,"Public Documents Available",
"ERG-002761","Entity Prequalification","Star Budz Provisioning Center LLC",,"12/31/2099","Active - Main Applicant",,,
"PC-000529","Provisioning Center - License","Glazed and Confused","2465 US 2 S HWY, Crystal Falls MI 49920","11/25/2022","Closed",,,
"PC-000538","Provisioning Center - License","Gage Cannabis Company","3075 Peregrine Dr. NE, Grand Rapids MI 49505","07/30/2023","Active","Approved",,
"PR-000162","Processor - License","8 Mile Brands","871 E 8 Mile RD, Hazel Park MI 48030","11/26/2023","Active",,"Public Documents Available",
"PC-000546","Provisioning Center - License","Lume Cannabis Co.","1512 N West AVE, Jackson MI 49202","03/21/2023","Closed","Approved","Public Documents Available",
"ERG-002794","Entity Prequalification","ET4 Corp",,"12/31/2099","Active - Main Applicant",,,
"PC-000547","Provisioning Center - License","Green Bean Company, Inc.","1625 W Atherton RD, Flint MI 48507","11/21/2023","Active",,,
"AU-ER-000705","Adult-Use Entity Registration - License","TRC LAPEER LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-000704","Adult-Use Entity Registration - License","Hammon Tree Growers, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-000685","Adult-Use Entity Registration - License","West Michigan Secured Transport, Inc.",,"12/31/2099","Active - Main Prequalified",,,
"AU-R-000332","Marihuana Retailer - License","The Botanical Co.","3535 Capital City BLVD, Lansing MI 48906","11/20/2023","Active",,,
"AU-R-000334","Marihuana Retailer - License","Light'n Up Provisioning & MicroBuddery","4184 Pier North BLVD Suite A, Flint MI 48504","11/20/2023","Active","Home Delivery - Approved",,
"AU-ER-000690","Adult-Use Entity Registration - License","Green Sprout Labs LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-R-000335","Marihuana Retailer - License","Skymint","4405 West Pierson RD, Flint MI 48504","11/27/2023","Active",,,
"AU-ER-000673","Adult-Use Entity Registration - License","Wheelhouse Growers, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-000697","Adult-Use Entity Registration - License","Lake Life Farms Inc.",,"12/31/2099","Active - Main Prequalified",,,
"AU-G-C-000262","Class C Marihuana Grower - License","Green Labs, LLC","9623 Skyline Industrial DR, Morenci MI 49256","11/19/2023","Active",,,
"AU-G-C-000266","Class C Marihuana Grower - License","Pure, LLC","825 E Crosstown PKWY, Kalamazoo MI 49001","11/19/2023","Active",,"Public Documents Available",
"AU-G-C-000264","Class C Marihuana Grower - License","Narvona","4403 Clio RD Unit 1, Flint MI 48504","11/19/2023","Active",,"Public Documents Available",
"AU-ER-000684","Adult-Use Entity Registration - License","SKY LABS, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-G-B-000118","Class B Marihuana Grower - License","Swift Cultivation LLC","2105 N Burdick ST, Kalamazoo MI 49007","11/19/2022","License Void",,,
"AU-R-000331","Marihuana Retailer - License","Burton Cannabis Company","3365 Associates DR, Burton MI 48529","11/19/2023","Active","Home Delivery - Approved",,
"AU-P-000143","Marihuana Processor - License","EPS I, LLC","1120 Industrial RD, Marshall MI 49068","06/17/2023","Active",,,
"AU-ER-000696","Adult-Use Entity Registration - License","Green Sprout Grow LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-000682","Adult-Use Entity Registration - License","True Organics, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-000693","Adult-Use Entity Registration - License","MEM GARDENS, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-R-000330","Marihuana Retailer - License","Treehouse 603","603 E William ST, Ann Arbor MI 48104","11/18/2022","License Void","Home Delivery - Approved","Public Documents Available",
"AU-R-000333","Marihuana Retailer - License","Authentic 231","74 Arthur ST, Manistee MI 49660","11/17/2023","Active","Home Delivery - Approved","Public Documents Available",
"AU-ER-000691","Adult-Use Entity Registration - License","Ox Tail Inc.",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-000656","Adult-Use Entity Registration - License","Cam Club, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-SC-000110","Marihuana Safety Compliance Facility - License","Therapeutic Health Choice, LLC","903 N Euclid AVE Suite 1, Bay City MI 48706","11/17/2023","Active",,"Public Documents Available",
"AU-G-C-000259","Class C Marihuana Grower - License","EPS I, LLC","1120 Industrial RD, Marshall MI 49068","06/17/2023","Active",,,
"AU-ER-000653","Adult-Use Entity Registration - License","Foose N Frog, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-000680","Adult-Use Entity Registration - License","Thumb Genetics, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-G-B-000115","Class B Marihuana Grower - License","Jade Collection of Morenci","9081 Skyline Industrial DR, Morenci MI 49256","11/16/2023","License Void",,"Public Documents Available",
"AU-G-C-000243","Class C Marihuana Grower - License","Green Standard Cultivation, LLC","55880 72nd AVE, Lawrence MI 49064","09/25/2022","License Void",,,
"AU-P-000139","Marihuana Processor - License","LivWell Enlightened Health","21550 Hoover RD, Warren MI 48089","08/10/2023","Active",,"Public Documents Available",
"AU-R-000329","Marihuana Retailer - License","Gage Cannabis Company","1551 Academy ST, Ferndale MI 48220","06/04/2021","License Void","Home Delivery - Approved",,
"AU-P-000144","Marihuana Processor - License","Red Arrow Company","34280 56th ST, Bangor MI 49013","11/13/2023","Active",,"Public Documents Available",
"AU-ER-000679","Adult-Use Entity Registration - License","Custom Genetics LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-R-000326","Marihuana Retailer - License","Lume Cannabis Co.","1425 W Main ST, Lowell MI 49331","11/27/2023","Active","Home Delivery - Approved",,
"AU-ER-000681","Adult-Use Entity Registration - License","CHM1 Inc.",,"02/16/2024","Active - Main Prequalified",,,
"AU-G-C-000260","Class C Marihuana Grower - License","Cannrose, Inc.","17627 18 Mile RD, LeRoy MI 49655","11/12/2023","Active",,,
"AU-R-000308","Marihuana Retailer - License","The Nest Provisioning","122 South Main ST, Camden MI 49232","11/10/2023","Active",,,
"AU-R-000324","Marihuana Retailer - License","Skymint","3315 Coolidge RD, East Lansing MI 48823","11/27/2023","Active","Home Delivery - Approved",,
"AU-ER-000668","Adult-Use Entity Registration - License","Lake Effects Logistics LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-R-000318","Marihuana Retailer - License","Your Buds","877 E 8 Mile RD, Hazel Park MI 48030","11/09/2023","Active","Home Delivery - Approved",,
"AU-ER-000675","Adult-Use Entity Registration - License","DRS Choice Transport, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-000674","Adult-Use Entity Registration - License","RK Agricultural Enterprises, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-000678","Adult-Use Entity Registration - License","WaHa Premier, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-R-000312","Marihuana Retailer - License","Jars Cannabis Mount Pleasant","1005 Corporate DR Suite B, Mt Pleasant MI 48858","02/25/2023","License Void","Home Delivery - Approved","Public Documents Available",
"AU-ER-000666","Adult-Use Entity Registration - License","Alternative Rx, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-000648","Adult-Use Entity Registration - License","Only by Nature, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-000661","Adult-Use Entity Registration - License","Carbidex LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-000646","Adult-Use Entity Registration - License","Fish Ladder Holdings LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-000645","Adult-Use Entity Registration - License","Detroit Gross Provisioning Center, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-R-000320","Marihuana Retailer - License","First Class Cannabis Co.","2515 N Grand River AVE, Lansing MI 48906","11/04/2023","Active",,"Public Documents Available",
"AU-P-000146","Marihuana Processor - License","BR Laboratory of Chesaning LLC","795 Eden WAY Suite B, Chesaning MI 48616","11/02/2023","Active",,,
"AU-ER-000623","Adult-Use Entity Registration - License","Capital City , LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-000649","Adult-Use Entity Registration - License","CCG Holdings Group, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-000642","Adult-Use Entity Registration - License","Heritage Farms Manistee LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-000652","Adult-Use Entity Registration - License","Wish Pontiac, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-000647","Adult-Use Entity Registration - License","Hayat Quality Provisioning I Inc",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-000634","Adult-Use Entity Registration - License","989 Ventures, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-G-C-000252","Class C Marihuana Grower - License","DIAMOND CUT FARMS","3208 Patterson RD, Bay City MI 48706","10/27/2023","Active",,,
"AU-R-000321","Marihuana Retailer - License","Fire Creek","846 E. Columbia AVE, Battle Creek MI 49014","10/27/2023","Active",,"Public Documents Available",
"AU-ER-000638","Adult-Use Entity Registration - License","Symponia Farms Inc.",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-000636","Adult-Use Entity Registration - License","Swift Cultivation L.L.C.",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-000643","Adult-Use Entity Registration - License","MLL William, Inc.",,"11/22/2023","Active - Main Prequalified",,,
"AU-ER-000635","Adult-Use Entity Registration - License","Canna Bee Extracts LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-000632","Adult-Use Entity Registration - License","313 MI Ventures, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-000605","Adult-Use Entity Registration - License","MI Loud Flower Farms, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-G-B-000116","Class B Marihuana Grower - License","CANNA BROZ","15403 SHARON RD Unit A, Chesaning MI 48616","10/22/2021","License Void",,,
"AU-ER-000613","Adult-Use Entity Registration - License","Bullit Properties, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-G-C-000250","Class C Marihuana Grower - License","FLURESH LLC","1213 Phillips SW AVE, Grand Rapids MI 49507","04/20/2024","Active",,,
"AU-SC-000112","Marihuana Safety Compliance Facility - License","Cambium Analytica","1230 Woodmere AVE, Traverse City MI 49686","10/20/2023","Active",,,
"AU-R-000323","Marihuana Retailer - License","Jars Cannabis River Rouge","11347 W Jefferson AVE, River Rouge MI 48218","10/20/2023","Active","Home Delivery - Approved","Public Documents Available",
"AU-P-000138","Marihuana Processor - License","Gage Cannabis Company","41455 Production DR, Harrison Township MI 48045","06/04/2024","Active",,"Public Documents Available",
"AU-ER-000569","Adult-Use Entity Registration - License","Graceful Laboratories HP LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-000622","Adult-Use Entity Registration - License","MPM-R Hazel Park LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-000565","Adult-Use Entity Registration - License","West Michigan Cannabis Cultivation, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-000615","Adult-Use Entity Registration - License","Exclusive Healing, INC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-000627","Adult-Use Entity Registration - License","Central Coast Horticultural LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-000608","Adult-Use Entity Registration - License","Green Labs, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-G-C-000224","Class C Marihuana Grower - License","Terrapin MI","2055 Oak Industrial NE DR, Grand Rapids MI 49505","10/16/2022","License Void",,,
"AU-G-C-000225","Class C Marihuana Grower - License","Terrapin MI","2055 Oak Industrial NE DR, Grand Rapids MI 49505","10/16/2022","License Void",,,
"AU-ER-000607","Adult-Use Entity Registration - License","Pure, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-ER-000606","Adult-Use Entity Registration - License","Cannrose, Inc.",,"12/31/2099","Active - Main Prequalified",,,
"AU-G-B-000114","Class B Marihuana Grower - License","ADAMS FAMILY FARMS LLC","1832 LAWRENCE RD, HASTINGS MI 49058","10/14/2023","Active",,"Public Documents Available",
"AU-ER-000598","Adult-Use Entity Registration - License","Yuma Way MI LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-G-C-000242","Class C Marihuana Grower - License","HG Lansing, LLC","1202 E. Oakland AVE, Lansing MI 48906","02/25/2021","License Void",,,
"AU-ER-000600","Adult-Use Entity Registration - License","BR Laboratory of Chesaning LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-R-000317","Marihuana Retailer - License","Cloud Cannabis Company","1760 Plymouth RD, Ann Arbor MI 48105","10/08/2023","Active","Home Delivery - Approved","Public Documents Available",
"AU-R-000316","Marihuana Retailer - License","Pleasantrees Cannabis Company","2238 Holbrook AVE, Hamtramck MI 48212","02/19/2024","Active","Home Delivery - Approved",,
"AU-SC-000107","Marihuana Safety Compliance Facility - License","Iron Laboratories LLC","1825 E West Maple RD Suite A, Walled Lake MI 48390","10/08/2023","Active",,"Public Documents Available",
"AU-ER-000568","Adult-Use Entity Registration - License","Acme Alternative Health, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-G-EX-000114","Excess Marihuana Grower - License","High Life Farms","624 Brady ST Suite A, Chesaning MI 48616","12/20/2022","License Void",,"Public Documents Available",
"AU-G-EX-000113","Excess Marihuana Grower - License","High Life Farms","624 Brady ST Suite A, Chesaning MI 48616","12/20/2022","License Void",,"Public Documents Available",
"AU-G-EX-000112","Excess Marihuana Grower - License","High Life Farms","624 Brady ST Suite A, Chesaning MI 48616","12/20/2022","License Void",,"Public Documents Available",
"AU-ER-000597","Adult-Use Entity Registration - License","Skozee, LLC",,"12/31/2099","Active - Main Prequalified",,,
"AU-R-000319","Marihuana Retailer - License","FLURESH","1213 Phillips SW AVE, Grand Rapids MI 49507","04/20/2024","Active","Home Delivery - Approved","Public Documents Available",
"AU-G-C-000238","Class C Marihuana Grower - License","High Life Farms","624 Brady ST Suite A, Chesaning MI 48616","12/20/2022","License Void",,"Public Documents Available",
"AU-G-C-000237","Class C Marihuana Grower - License","High Life Farms","624 Brady ST Suite A, Chesaning MI 48616","12/20/2022","License Void",,"Public Documents Available",
"AU-P-000141","Marihuana Processor - License","Redbud Roots Lab IV, LLC","455 Post RD, Buchanan MI 49107","02/10/2024","Active",,"Public Documents Available",
"AU-G-EX-000125","Excess Marihuana Grower - License","LivWell Enlightened Health","21550 Hoover RD, Warren MI 48089","08/10/2023","Active",,"Public Documents Available",
"AU-G-EX-000124","Excess Marihuana Grower - License","LivWell Enlightened Health","21550 Hoover RD, Warren MI 48089","08/10/2023","Active",,"Public Documents Available",
"AU-ER-000589","Adult-Use Entity Registration - License","KULA Farms LLC",,"12/31/2099","Active - Main Prequalified",,,
